type,appetizer,beverage,breakfast,dessert,entree,salad,side,soup_stew
condiments(exclusive),50,53.0,39,155.0,348,56,79,96.0
vegetable,24,1.0,10,2.0,55,28,37,35.0
protein,24,1.0,8,7.0,56,13,15,22.0
condiment (liquid),21,8.0,13,19.0,39,15,15,20.0
condiment (powder),17,4.0,14,21.0,35,12,21,16.0
condiment (bulk),12,5.0,3,6.0,27,10,9,15.0
carbohydrates,9,2.0,10,15.0,29,7,14,18.0
processed food,8,1.0,8,3.0,15,4,5,8.0
beverage,6,14.0,7,10.0,14,6,8,11.0
other,5,0.0,6,1.0,5,2,4,3.0
fruit,4,4.0,6,12.0,14,4,2,0.0
mushroom/fungus,2,0.0,1,0.0,9,4,7,8.0
